,year,LAD,comparative_adv,Topics
142,2014,Swansea,0.0,Coding - Wearables - IoT - Hardware
143,2015,Swansea,0.0,Coding - Wearables - IoT - Hardware
145,2012,Gwynedd,0.0,Coding - Wearables - IoT - Hardware
146,2013,Gwynedd,0.0,Coding - Wearables - IoT - Hardware
147,2014,Gwynedd,0.0,Coding - Wearables - IoT - Hardware
148,2015,Gwynedd,0.0,Coding - Wearables - IoT - Hardware
150,2012,Pembrokeshire,0.0,"Website Development (PHP, Drupal)"
151,2013,Pembrokeshire,0.0,"Website Development (PHP, Drupal)"
152,2014,Pembrokeshire,0.0,"Website Development (PHP, Drupal)"
153,2015,Pembrokeshire,0.0,"Website Development (PHP, Drupal)"
155,2012,Blaenau Gwent,0.0,"Website Development (PHP, Drupal)"
156,2013,Blaenau Gwent,0.0,"Website Development (PHP, Drupal)"
157,2014,Blaenau Gwent,0.0,"Website Development (PHP, Drupal)"
158,2015,Blaenau Gwent,0.0,"Website Development (PHP, Drupal)"
160,2012,Carmarthenshire,0.0,"Website Development (PHP, Drupal)"
161,2013,Carmarthenshire,0.0,"Website Development (PHP, Drupal)"
162,2014,Carmarthenshire,0.0,"Website Development (PHP, Drupal)"
163,2015,Carmarthenshire,0.0,"Website Development (PHP, Drupal)"
165,2012,Cardiff,0.0,"Website Development (PHP, Drupal)"
166,2013,Cardiff,0.0,"Website Development (PHP, Drupal)"
167,2014,Cardiff,0.8784533648564142,"Website Development (PHP, Drupal)"
168,2015,Cardiff,0.0,"Website Development (PHP, Drupal)"
170,2012,Swansea,0.0,"Website Development (PHP, Drupal)"
171,2013,Swansea,0.0,"Website Development (PHP, Drupal)"
172,2014,Swansea,0.0,"Website Development (PHP, Drupal)"
173,2015,Swansea,0.0,"Website Development (PHP, Drupal)"
175,2012,Gwynedd,0.0,"Website Development (PHP, Drupal)"
176,2013,Gwynedd,0.0,"Website Development (PHP, Drupal)"
177,2014,Gwynedd,0.0,"Website Development (PHP, Drupal)"
178,2015,Gwynedd,0.0,"Website Development (PHP, Drupal)"
180,2012,Pembrokeshire,0.0,e-Commerce
181,2013,Pembrokeshire,0.0,e-Commerce
182,2014,Pembrokeshire,0.0,e-Commerce
183,2015,Pembrokeshire,2.6856848416249233,e-Commerce
185,2012,Blaenau Gwent,0.0,e-Commerce
186,2013,Blaenau Gwent,0.0,e-Commerce
187,2014,Blaenau Gwent,0.0,e-Commerce
188,2015,Blaenau Gwent,0.0,e-Commerce
190,2012,Carmarthenshire,0.0,e-Commerce
191,2013,Carmarthenshire,0.0,e-Commerce
192,2014,Carmarthenshire,0.0,e-Commerce
193,2015,Carmarthenshire,0.0,e-Commerce
195,2012,Cardiff,0.0,e-Commerce
196,2013,Cardiff,0.0,e-Commerce
