,Wales,index,year
532,0.0,corpus_data_processing,2012
533,0.0,cosplay,2012
534,0.0,cost_reduction_and_outsourcing,2012
535,0.0,couchapp,2012
536,0.0,couchbase,2012
537,0.0,couchdb,2012
538,0.0,coursera.org,2012
539,0.0,courses_and_workshops,2012
540,0.0,coworkers,2012
541,0.0,coworking,2012
542,0.0,cpa_marketing,2012
543,0.0,cradle_to_cradle,2012
544,0.0,craft_beer,2012
545,0.0,craft_cms,2012
546,0.0,craft_sellers,2012
547,0.0,crafts,2012
548,0.0,create_a_blog,2012
549,0.0,create_positive_change,2012
550,0.0,creating,2012
551,0.0,creating_amazon_cloud_applications,2012
552,0.0,creating_google_appengine_applications,2012
553,0.0,creating_high_performing_teams,2012
554,0.0,creative_circle,2012
555,0.0,creative_coding,2012
556,0.0,creative_design,2012
557,0.0,creative_freelancers,2012
558,0.0,creative_industries,2012
559,0.0,creative_problem_solving,2012
560,0.0,creative_technologists,2012
561,0.0,creative_thinking,2012
562,0.0,creative_with_photoshop,2012
563,0.0,creative_women,2012
564,0.0,creative_wrting,2012
565,0.0,creativity,2012
566,0.0,crisismapping,2012
567,0.0,critical_thinking,2012
568,0.0,crm,2012
569,0.0,cross-platform_mobile,2012
570,0.0,cross_mentoring_with_expert_ceo_business_owners,2012
571,0.0,cross_mobile_development,2012
572,0.0,cross_platform_development,2012
573,0.0,cross_platform_mobile_game_development,2012
574,0.0,cross_publishing_to_web_and_mobile,2012
575,0.0,crowd_funding,2012
576,0.0,crowdsharing,2012
577,0.0,crowdsourcing,2012
578,0.0,crucible,2012
579,0.0,crypto-anarchy,2012
580,0.0,crypto-capitalism,2012
581,0.0,cryptocurrency,2012
582,0.0,cryptoequity,2012
583,0.0,cryptography,2012
584,0.0,css,2012
585,0.0,css/next,2012
586,0.0,css3,2012
587,0.0,cto,2012
588,0.0,cucumber,2012
589,0.0,cuda:_compute_unified_device_architecture,2012
590,0.0,cultural_heritage,2012
591,0.0,cultural_organisations,2012
592,0.0,culture,2012
593,0.0,culture_and_international_development,2012
594,0.0,cupcakes,2012
595,0.0,currency_trading,2012
596,0.0,customer_development,2012
597,0.0,customer_experience,2012
598,0.0,customer_experience_management,2012
599,0.0,customer_relationship_management,2012
600,0.0,customer_satisfaction,2012
601,0.0,customer_service,2012
602,0.0,customer_success,2012
603,0.0,cyber_safety,2012
604,0.0,cybersecurity,2012
605,0.0,cycling,2012
606,0.0,czech_language,2012
607,0.0,d3,2012
608,0.0,d3.js,2012
609,0.0,d_programming_language,2012
610,0.0,dart_language,2012
611,0.0,data,2012
612,0.0,data.table:_higher_speed_time_series_queries,2012
613,0.0,data_analysis,2012
614,0.0,data_analysis_and_modeling,2012
615,0.0,data_analytics,2012
616,0.0,data_architecture,2012
617,0.0,data_art,2012
618,0.0,data_center_and_operations_automation,2012
619,0.0,data_center_colocation,2012
620,0.0,data_centre_networking_and_design,2012
621,0.0,data_cleansing,2012
622,0.0,data_collection_and_entry,2012
623,0.0,data_computing,2012
624,0.0,data_governance,2012
625,0.0,data_grid,2012
626,0.0,data_integration,2012
627,0.0,data_journalism,2012
628,0.0,data_management,2012
629,0.0,data_mining,2012
630,0.0,data_privacy,2012
631,0.0,data_profiling,2012
632,0.0,data_protection,2012
633,0.0,data_quality,2012
634,0.0,data_science,2012
635,0.0,data_science_using_python,2012
636,0.0,data_security,2012
637,0.0,data_storage,2012
638,0.0,data_strategy,2012
639,0.0,data_structures,2012
